date,GS_F,GS_GM,GS_LCID,GS_RIVN,GS_TSLA
9/12/2025,3,7,2,4,84
9/13/2025,3,6,2,4,72
9/14/2025,2,5,3,4,74
9/15/2025,3,7,3,4,95
9/16/2025,3,7,2,4,90
9/17/2025,3,7,3,4,85
9/18/2025,3,7,2,4,82
9/19/2025,3,8,2,4,81
9/20/2025,3,6,2,4,73
9/21/2025,2,6,2,4,72
9/22/2025,3,7,2,4,84
9/23/2025,3,7,2,4,78
9/24/2025,3,8,3,4,83
9/25/2025,3,7,3,4,85
9/26/2025,3,7,2,4,88
9/27/2025,3,6,2,4,86
9/28/2025,3,6,2,4,77
9/29/2025,3,7,2,4,86
9/30/2025,3,8,2,4,83
10/1/2025,3,8,2,4,86
10/2/2025,3,7,2,5,94
10/3/2025,3,7,2,4,90
10/4/2025,3,6,1,3,74
10/5/2025,2,6,1,4,70
10/6/2025,3,7,2,4,82
10/7/2025,3,8,2,4,100
10/8/2025,3,7,2,4,88
10/9/2025,3,7,2,4,77
10/10/2025,3,8,2,4,84
10/11/2025,3,6,1,3,72
10/12/2025,3,6,1,3,66
10/13/2025,3,7,2,4,76
10/14/2025,3,8,2,4,72
10/15/2025,3,8,2,4,76
10/16/2025,3,8,2,3,70
10/17/2025,3,7,2,4,70
10/18/2025,3,6,2,3,65
10/19/2025,3,6,1,3,62
10/20/2025,3,7,2,4,72
10/21/2025,3,10,2,4,71
10/22/2025,3,9,2,4,84
10/23/2025,3,8,2,5,85
10/24/2025,3,9,2,5,76
10/25/2025,3,7,1,4,62
10/26/2025,3,7,1,4,62
10/27/2025,3,8,2,4,69
10/28/2025,3,8,2,4,73
10/29/2025,3,8,2,4,67
10/30/2025,3,8,2,3,65
10/31/2025,3,9,2,4,67
11/1/2025,3,7,1,3,61
11/2/2025,3,6,1,3,60
11/3/2025,3,8,2,3,68
11/4/2025,3,8,2,4,68
11/5/2025,3,7,2,5,71
11/6/2025,3,7,2,4,79
11/7/2025,3,7,2,4,94
11/8/2025,3,7,2,4,75
11/9/2025,3,6,2,3,67
11/10/2025,3,7,2,4,73
11/11/2025,4,7,2,5,72
11/12/2025,3,7,2,5,74
11/13/2025,3,7,3,4,80
11/14/2025,3,7,2,4,75
11/15/2025,3,6,2,3,63
11/16/2025,3,6,1,3,62
11/17/2025,3,7,2,4,69
11/18/2025,3,7,2,3,68
11/19/2025,3,8,2,4,74
11/20/2025,3,8,2,4,80
11/21/2025,3,7,2,3,80
11/22/2025,3,7,1,3,70
11/23/2025,3,6,1,3,69
11/24/2025,3,8,2,3,72
11/25/2025,3,8,2,4,74
11/26/2025,3,7,2,3,72
11/27/2025,3,7,1,3,65
11/28/2025,3,6,1,3,51
11/29/2025,2,5,1,3,47
11/30/2025,2,5,1,2,44
12/1/2025,3,6,1,3,51
12/2/2025,3,7,1,3,50
12/3/2025,3,7,1,3,51
12/4/2025,3,7,1,3,51
12/5/2025,3,6,2,3,54
12/6/2025,3,6,1,3,49
12/7/2025,2,5,1,2,45
12/8/2025,3,6,1,3,52
12/9/2025,3,6,1,3,51
12/10/2025,3,6,1,3,50
12/11/2025,3,6,1,4,53
12/12/2025,3,6,1,5,52
