date,GS_ABBV,GS_JNJ,GS_MRK,GS_PFE,GS_UNH
9/12/2025,11,14,44,40,73
9/13/2025,5,11,34,30,39
9/14/2025,5,11,26,26,27
9/15/2025,10,15,40,39,61
9/16/2025,12,15,36,38,84
9/17/2025,11,14,34,36,100
9/18/2025,10,14,35,38,84
9/19/2025,10,13,34,37,69
9/20/2025,6,10,23,26,39
9/21/2025,6,10,27,23,34
9/22/2025,11,18,43,58,79
9/23/2025,11,22,47,51,68
9/24/2025,12,21,40,42,48
9/25/2025,11,17,40,39,49
9/26/2025,12,16,39,46,47
9/27/2025,7,13,26,27,26
9/28/2025,6,12,24,26,25
9/29/2025,12,16,36,38,56
9/30/2025,13,17,45,93,63
10/1/2025,14,17,42,88,99
10/2/2025,12,16,39,59,89
10/3/2025,11,15,32,45,74
10/4/2025,6,10,20,28,38
10/5/2025,6,10,23,26,35
10/6/2025,11,15,34,40,74
10/7/2025,11,15,35,42,48
10/8/2025,11,16,35,39,34
10/9/2025,11,17,38,42,31
10/10/2025,10,14,35,37,32
10/11/2025,6,13,26,26,14
10/12/2025,5,12,24,24,13
10/13/2025,10,16,34,36,29
10/14/2025,10,18,38,38,31
10/15/2025,11,17,39,39,32
10/16/2025,11,18,39,38,26
10/17/2025,10,15,37,34,23
10/18/2025,6,11,26,25,13
10/19/2025,5,12,24,23,12
10/20/2025,10,17,38,36,33
10/21/2025,11,16,42,39,43
10/22/2025,11,16,36,35,44
10/23/2025,10,16,37,34,46
10/24/2025,9,15,33,33,41
10/25/2025,6,11,21,24,20
10/26/2025,6,11,22,23,19
10/27/2025,11,16,36,36,46
10/28/2025,10,16,35,36,57
10/29/2025,11,14,35,35,53
10/30/2025,11,14,36,36,46
10/31/2025,14,15,31,39,39
11/1/2025,6,11,22,25,20
11/2/2025,5,12,20,23,16
11/3/2025,10,16,33,40,47
11/4/2025,11,14,33,50,64
11/5/2025,10,14,33,42,80
11/6/2025,11,14,34,43,85
11/7/2025,9,13,32,40,76
11/8/2025,5,11,24,34,43
11/9/2025,5,11,26,32,38
11/10/2025,10,15,40,42,87
11/11/2025,11,15,42,43,81
11/12/2025,12,17,41,42,80
11/13/2025,12,16,35,45,71
11/14/2025,11,15,36,38,65
11/15/2025,7,13,26,24,35
11/16/2025,6,10,24,23,31
11/17/2025,12,15,35,33,62
11/18/2025,12,18,37,35,61
11/19/2025,12,20,43,38,74
11/20/2025,12,18,39,37,62
11/21/2025,10,19,38,37,61
11/22/2025,5,14,26,26,32
11/23/2025,6,12,25,24,27
11/24/2025,10,16,37,32,57
11/25/2025,10,17,41,34,55
11/26/2025,10,17,38,32,49
11/27/2025,7,14,32,27,19
11/28/2025,5,6,17,20,12
11/29/2025,3,5,11,14,7
11/30/2025,3,5,10,14,7
12/1/2025,7,8,22,24,23
12/2/2025,8,8,21,24,24
12/3/2025,8,8,22,23,23
12/4/2025,8,8,22,23,24
12/5/2025,8,8,18,21,24
12/6/2025,4,6,10,15,11
12/7/2025,4,6,11,14,10
12/8/2025,8,9,20,23,24
12/9/2025,9,9,23,24,28
12/10/2025,9,8,20,24,41
12/11/2025,9,9,20,25,41
12/12/2025,8,8,18,23,40
